method,seed,mode,target,critical_mass,clear_mass,penetration_mass,retained_mass,abstained,p
contrast,302,raw,sustained_e015_r255,0.7901858892291784,0.8220129167633589,0.03136719980652902,0.8220129167633589,False,
contrast,302,raw,prior_splice_e015_r265,0.6422338387928903,0.7404523244711806,0.08351379436631014,0.7404523244711806,False,
contrast,302,raw,prior_splice_e050_r265,0.5980420829728246,0.678818858890331,0.09177511240861805,0.678818858890331,False,
contrast,302,raw,short_e070_r265,0.18226198852062225,0.1830258274125341,0.6458033212369206,0.1830258274125341,False,
contrast,302,raw,sustained_e070_r255,0.8138352604582906,0.8455138986146792,0.03091081242960947,0.8455138986146792,False,
contrast,302,constrained,neutral,0.0,1.0,0.0,0.7737745385869821,False,
contrast,302,constrained,short_e015_r265,0.995826878743346,0.9999999999999999,0.0,0.18303399230208375,False,
contrast,302,constrained,sustained_e015_r255,0.9612815968154149,1.0,0.0,0.8220129167633589,False,
contrast,302,constrained,prior_splice_e015_r265,0.8673533967923777,1.0,0.0,0.7404523244711806,False,
contrast,302,constrained,prior_splice_e050_r265,0.8810039307841968,1.0,0.0,0.678818858890331,False,
contrast,302,constrained,short_e070_r265,0.9958266059893822,1.0,0.0,0.1830258274125341,False,
contrast,302,constrained,sustained_e070_r255,0.9625332733048007,1.0,0.0,0.8455138986146792,False,
combined,301,raw,neutral,0.0,0.5802360051311553,0.07114934826381615,0.5802360051311553,False,
combined,301,raw,short_e015_r265,0.26132458448410034,0.26147914223135227,0.4972958562145749,0.26147914223135227,False,
combined,301,raw,sustained_e015_r255,0.634855967015028,0.6586199349386224,0.05699412599584604,0.6586199349386224,False,
combined,301,raw,prior_splice_e015_r265,0.44554374320432544,0.4793624191232348,0.24043436564245618,0.4793624191232348,False,
combined,301,raw,prior_splice_e050_r265,0.4294458688236773,0.45448697405348315,0.23754457842139381,0.45448697405348315,False,
combined,301,raw,short_e070_r265,0.26132455468177795,0.26147911230471144,0.4972961870786875,0.26147911230471144,False,
combined,301,raw,sustained_e070_r255,0.6510936906561255,0.6727822411348567,0.05991719708565889,0.6727822411348567,False,
combined,301,constrained,neutral,0.0,1.0,0.0,0.5802360051311553,False,
combined,301,constrained,short_e015_r265,0.9994089098429305,1.0,0.0,0.26147914223135227,False,
combined,301,constrained,sustained_e015_r255,0.9639185413878961,1.0000000000000002,0.0,0.6586199349386224,False,
combined,301,constrained,prior_splice_e015_r265,0.929450715012736,1.0,0.0,0.4793624191232348,False,
combined,301,constrained,prior_splice_e050_r265,0.9449024798082353,0.9999999999999999,0.0,0.45448697405348315,False,
combined,301,constrained,short_e070_r265,0.9994089102507225,0.9999999999999999,0.0,0.26147911230471144,False,
combined,301,constrained,sustained_e070_r255,0.9677628968889745,1.0,0.0,0.6727822411348567,False,
combined,302,raw,neutral,0.0,0.8865526227746159,0.09264538734993266,0.8865526227746159,False,
