panel,task,success,goal_ever_reached,max_hold_ticks,final_goal_distance_m,collision_free,max_undesired_force_n,fell,control_steps,stop_reason,student_sha256,harness_commit,harness_dirty
approach-c2-92602,00265-stop-corridor,False,False,0,1.1134,False,45.99,False,450,contact,426f0fc526a7,000d185,0
approach-c2-92602,00413-stop-clear,False,False,0,1.693,True,0.0,False,600,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00677-stop-clear,False,False,0,0.6919,True,0.0,False,350,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00677-stop-corridor,False,False,0,1.0038,True,0.0,False,350,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00707-stop-clear,False,False,0,0.5444,True,0.0,False,300,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00707-stop-corridor,False,False,0,0.5444,False,52.56,False,138,contact,426f0fc526a7,000d185,0
approach-c2-92602,00711-stop-clear,False,False,0,4.3348,True,0.0,False,475,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00711-stop-corridor,False,False,0,3.8898,True,0.0,False,475,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00770-stop-clear,False,False,0,1.0744,True,0.0,False,425,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00770-stop-corridor,False,False,0,1.0642,False,504.88,False,359,contact,426f0fc526a7,000d185,0
approach-c2-92602,00801-stop-clear,False,False,0,1.7258,True,0.0,False,625,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00801-stop-corridor,False,False,0,4.0837,False,108.4,False,268,contact,426f0fc526a7,000d185,0
approach-c2-92602,00908-stop-clear,False,False,0,1.0472,True,0.0,False,350,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00908-stop-corridor,False,False,0,1.0481,True,0.0,False,350,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00976-stop-clear,False,False,0,1.7455,True,0.0,False,500,deadline,426f0fc526a7,000d185,0
approach-c2-92602,00976-stop-corridor,False,False,0,1.8056,True,0.0,False,500,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00120-stop-clear,False,False,0,3.5265,True,0.0,False,575,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00120-stop-corridor,False,False,0,4.5272,False,46.47,False,304,contact,426f0fc526a7,000d185,0
approach-c2-92603,00265-stop-clear,False,False,0,1.1746,True,0.0,False,500,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00265-stop-corridor,False,False,0,1.1154,True,0.0,False,500,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00413-stop-clear,False,False,0,0.5535,True,0.0,False,600,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00677-stop-clear,False,False,0,0.4454,True,0.0,False,350,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00677-stop-corridor,False,False,0,0.3996,True,0.0,False,350,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00707-stop-clear,False,False,0,0.6197,True,0.0,False,300,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00707-stop-corridor,False,False,0,0.4221,True,0.0,False,300,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00711-stop-clear,False,False,0,3.4882,True,0.0,False,475,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00711-stop-corridor,False,False,0,3.5726,True,0.0,False,475,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00770-stop-clear,False,False,0,0.8258,True,0.0,False,425,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00770-stop-corridor,False,False,0,1.0,True,0.0,False,425,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00801-stop-clear,False,False,0,1.6502,True,0.0,False,625,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00801-stop-corridor,False,False,0,5.6957,True,0.0,False,625,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00908-stop-clear,False,False,0,0.2985,True,0.0,False,350,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00908-stop-corridor,False,False,0,0.4048,True,0.0,False,350,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00976-stop-clear,False,False,0,1.442,True,0.0,False,500,deadline,426f0fc526a7,000d185,0
approach-c2-92603,00976-stop-corridor,False,False,0,0.8246,False,437.34,False,166,contact,426f0fc526a7,000d185,0
probe-approach-c2-91260,00677-stop-corridor,False,True,11,0.27,True,0.0,False,350,deadline,426f0fc526a7,caecf41,0
probe-approach-c2-91260,00908-stop-clear,True,True,50,0.0811,True,0.0,False,238,goal_hold,426f0fc526a7,caecf41,0
probe-approach-c2-nominal-92601,00677-stop-corridor,False,False,0,1.0703,True,0.0,False,350,deadline,426f0fc526a7,caecf41,0
