stage,run,success,reached,hold,final_distance_m,max_force_n,fell,steps,stop,actor_profile,student
dag-uniform/c2-recovery,00711-stop-clear-t103,True,True,50,0.144,0.0,False,414,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00711-stop-clear-t49,True,True,50,0.19,0.0,False,414,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00711-stop-corridor-t103,True,True,50,0.1,0.0,False,415,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00711-stop-corridor-t49,True,True,50,0.175,0.0,False,414,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00770-stop-clear-t40,True,True,50,0.146,0.0,False,339,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00770-stop-clear-t85,True,True,50,0.158,0.0,False,343,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00770-stop-corridor-t40,True,True,50,0.134,0.0,False,339,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00770-stop-corridor-t85,True,True,50,0.148,0.0,False,343,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00801-stop-clear-t142,False,False,0,0.252,0.0,False,625,deadline,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00801-stop-clear-t68,True,True,50,0.244,0.0,False,561,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00801-stop-corridor-t142,False,False,0,0.305,0.0,False,625,deadline,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00801-stop-corridor-t68,True,True,50,0.235,0.0,False,622,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00908-stop-clear-t26,True,True,50,0.088,0.0,False,224,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00908-stop-clear-t56,True,True,50,0.07,0.0,False,222,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00908-stop-corridor-t26,True,True,50,0.086,0.0,False,224,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00908-stop-corridor-t55,True,True,50,0.084,0.0,False,229,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00976-stop-clear-t45,True,True,50,0.168,0.0,False,383,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00976-stop-clear-t95,True,True,50,0.18,0.0,False,384,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00976-stop-corridor-t45,True,True,50,0.168,0.0,False,384,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00976-stop-corridor-t95,True,True,50,0.202,0.0,False,384,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
