experiment,cell_id,reference_csv,scene,outcome,accepted,route_axis,station_x_m,station_y_m,commanded_reach_m,executed_reach_m,delivery_residual_mm,reference_frames,executed_frames,endpoint_error_m,schedule_error_p95_m
E1A_2026-08-20,mf_005_c08__nominal_easy__repeat_2,/data/robotixx/groot-wbc-kimodo-m0/modebank/sweep/w_nominal.csv,mf_005_c08_easy,accepted,1,x,2.21676,-0.192967,1.3051409640637959,1.3015564791436358,-3.584484920160058,120,199,0.0983173620443152,0.14488099597425594
E1A_2026-08-20,mf_005_c08__nominal_hard__repeat_1,/data/robotixx/groot-wbc-kimodo-m0/modebank/sweep/w_nominal.csv,mf_005_c08_hard,rejected,0,x,2.21676,-0.192967,1.3051409640637959,1.2574179825266656,-47.72298153713028,120,199,0.8125812053336001,0.8035755810357237
E1A_2026-08-20,mf_005_c08__nominal_hard__repeat_2,/data/robotixx/groot-wbc-kimodo-m0/modebank/sweep/w_nominal.csv,mf_005_c08_hard,rejected,0,x,2.21676,-0.192967,1.3051409640637959,1.2574557989403652,-47.685165123430686,120,199,0.8048740158372303,0.8078624724416098
E1B_V2_2026-08-20,cs_duck_003__shelf_plank__adapted_easy,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/056_a_person_walks_at_a_steady_pace_and_ducks_down_l_s0.csv,cs_duck_003__shelf_plank__s00000017__easy,accepted,1,x,2.9673779010772705,0.16555167734622955,1.039945646407396,1.1876612921327987,147.71564572540274,120,199,0.33048505221741653,0.3086285521480737
E1B_V2_2026-08-20,cs_duck_003__shelf_plank__adapted_hard,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/056_a_person_walks_at_a_steady_pace_and_ducks_down_l_s0.csv,cs_duck_003__shelf_plank__s00000017__hard,accepted,1,x,2.9673779010772705,0.16555167734622955,1.039945646407396,1.1876612921327987,147.71564572540274,120,199,0.33048505221741653,0.3086285521480737
E1B_V2_2026-08-20,cs_duck_003__shelf_plank__nominal_easy,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cs_duck_003__shelf_plank__s00000017__easy,accepted,1,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.3012108785350744,-3.9296293907562507,120,199,0.14982363592788123,0.1377830039651489
E1B_V2_2026-08-20,cs_duck_003__shelf_plank__nominal_hard,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cs_duck_003__shelf_plank__s00000017__hard,rejected,0,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.3012108785350744,-3.9296293907562507,120,199,1.3067134365428632,1.202007057233472
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__door_lintel__s00000017__adapted_easy,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/056_a_person_walks_at_a_steady_pace_and_ducks_down_l_s0.csv,cs_duck_003__door_lintel__s00000017__easy,accepted,1,x,2.9673779010772705,0.16555167734622955,1.039945646407396,1.218985669813648,179.04002340625215,120,199,0.36788947671815037,0.34494492626476025
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__door_lintel__s00000017__adapted_hard,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/056_a_person_walks_at_a_steady_pace_and_ducks_down_l_s0.csv,cs_duck_003__door_lintel__s00000017__hard,accepted,1,x,2.9673779010772705,0.16555167734622955,1.039945646407396,1.218985669813648,179.04002340625215,120,199,0.36788947671815037,0.34494492626476025
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__door_lintel__s00000017__nominal_easy,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cs_duck_003__door_lintel__s00000017__easy,accepted,1,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.299082886723085,-6.057621202745667,120,199,0.13586725039751682,0.11094143848353227
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__door_lintel__s00000017__nominal_hard,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cs_duck_003__door_lintel__s00000017__hard,rejected,0,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.299082886723085,-6.057621202745667,120,199,1.299201791233182,1.2554960131472135
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__hvac_duct__s00000017__adapted_easy,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/056_a_person_walks_at_a_steady_pace_and_ducks_down_l_s0.csv,cs_duck_003__hvac_duct__s00000017__easy,accepted,1,x,2.9673779010772705,0.16555167734622955,1.039945646407396,1.2114397441439895,171.49409773659352,120,199,0.28351346477704487,0.24569337445282677
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__hvac_duct__s00000017__adapted_hard,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/056_a_person_walks_at_a_steady_pace_and_ducks_down_l_s0.csv,cs_duck_003__hvac_duct__s00000017__hard,accepted,1,x,2.9673779010772705,0.16555167734622955,1.039945646407396,1.2114397441439895,171.49409773659352,120,199,0.28351346477704487,0.24569337445282677
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__hvac_duct__s00000017__nominal_easy,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cs_duck_003__hvac_duct__s00000017__easy,accepted,1,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.296088372360985,-9.052135564845631,120,199,0.08983385731393245,0.15615639666787476
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__hvac_duct__s00000017__nominal_hard,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cs_duck_003__hvac_duct__s00000017__hard,rejected,0,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.296088372360985,-9.052135564845631,120,199,1.1351839461714057,1.0418833326893344
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__ibeam__s00000017__adapted_easy,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/056_a_person_walks_at_a_steady_pace_and_ducks_down_l_s0.csv,cs_duck_003__ibeam__s00000017__easy,accepted,1,x,2.9673779010772705,0.16555167734622955,1.039945646407396,1.2071489715315387,167.2033251241427,120,199,0.26363068507417636,0.2545720904475454
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__ibeam__s00000017__adapted_hard,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/056_a_person_walks_at_a_steady_pace_and_ducks_down_l_s0.csv,cs_duck_003__ibeam__s00000017__hard,accepted,1,x,2.9673779010772705,0.16555167734622955,1.039945646407396,1.2071489715315387,167.2033251241427,120,199,0.26363068507417636,0.2545720904475454
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__ibeam__s00000017__nominal_easy,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cs_duck_003__ibeam__s00000017__easy,accepted,1,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.2989574315276688,-6.183076398161846,120,199,0.12011766575833045,0.13956582600253073
E2_VARIANT_TRANSFER_2026-08-20,cs_duck_003__ibeam__s00000017__nominal_hard,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cs_duck_003__ibeam__s00000017__hard,rejected,0,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.2989574315276688,-6.183076398161846,120,199,1.3105712017764095,1.2018072972601181
E3_LATERAL_PILOT_2026-08-20,cs_lfh_084_arm_tuck_right_cal2__pinch_panels__s00031584__adapted_easy,/data/robotixx/groot-wbc-kimodo-m0/lfh_arm_tuck_strong_calibration/lfh_084_arm_tuck_right/strong.csv,cs_lfh_084_arm_tuck_right_cal2__pinch_panels__s00031584__easy,accepted,1,x,1.7274661064,-0.512041688,1.29708077321023,1.266773347424862,-30.30742578536816,120,199,0.08633807324366637,0.07766234338671414
E3_LATERAL_PILOT_2026-08-20,cs_lfh_084_arm_tuck_right_cal2__pinch_panels__s00031584__adapted_hard,/data/robotixx/groot-wbc-kimodo-m0/lfh_arm_tuck_strong_calibration/lfh_084_arm_tuck_right/strong.csv,cs_lfh_084_arm_tuck_right_cal2__pinch_panels__s00031584__hard,rejected,0,x,1.7274661064,-0.512041688,1.29708077321023,1.2781116303398288,-18.9691428704013,120,199,0.1930211741140997,0.1828818438212234
E3_LATERAL_PILOT_2026-08-20,cs_lfh_084_arm_tuck_right_cal2__pinch_panels__s00031584__nominal_easy,/data/robotixx/groot-wbc-kimodo-m0/lfh_arm_tuck_strong_calibration/lfh_084_arm_tuck_right/nominal.csv,cs_lfh_084_arm_tuck_right_cal2__pinch_panels__s00031584__easy,accepted,1,x,1.7274661064,-0.512041688,1.29708077321023,1.2762609165592693,-20.819856650960755,120,199,0.046669074820749834,0.07559725338209854
