experiment,cell_id,motion_pkl,reference_csv,scene,outcome,accepted,rejection_reasons,endpoint_error_m,schedule_error_p95_m,drift_rate_mps,max_external_contact_force_n,max_self_contact_force_n,executed_frames,frames,path_length_m,net_displacement_m,straightness,mean_speed_mps,heading_change_rad,root_height_mean_m,root_height_min_m,role,baseline_csv,commanded_drop_m,commanded_left_reduction_m,commanded_right_reduction_m,commanded_max_joint_change_rad,commanded_active_fraction
E12_CROUCH_LADDER_2026-08-26,ladder_008__nominal,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_008/nominal.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_008/nominal.csv,screen_empty,rejected,0,reference_path_tracking_error,0.23968334312327458,0.25482638484555237,,0.0,90.14693505530657,199,120,4.583619925357008,4.5756902903020364,0.9982700059812761,1.145904981339252,0.04059696646985272,0.7508106892316667,0.724971354,nominal,,,,,,
E12_CROUCH_LADDER_2026-08-26,ladder_034__d040,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/d040.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/d040.csv,screen_empty,accepted,1,,0.04450762837970896,0.08649352212906726,,0.0,124.62832900182629,199,120,1.5074267962794925,1.4403993381273836,0.9555351819952116,0.3768566990698731,0.8155016905852239,0.7461577926224999,0.7084208162,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/nominal.csv,0.040000759,0.0,0.0,0.6013745118,0.2833333333333333
E12_CROUCH_LADDER_2026-08-26,ladder_034__d055,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/d055.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/d055.csv,screen_empty,accepted,1,,0.06809226976606153,0.09806756562360262,,0.0,124.62832900182629,199,120,1.5074267962794925,1.4403993381273836,0.9555351819952116,0.3768566990698731,0.8155016905852239,0.73869118215,0.6896584556,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/nominal.csv,0.055003048800000176,0.0,0.0,0.7245922852000002,0.2833333333333333
E12_CROUCH_LADDER_2026-08-26,ladder_034__d070,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/d070.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/d070.csv,screen_empty,accepted,1,,0.0895017060307029,0.11952273066950296,,0.0,124.62832900182629,199,120,1.5074267962794925,1.4403993381273836,0.9555351819952116,0.3768566990698731,0.8155016905852239,0.7306476126733333,0.6696483604,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/nominal.csv,0.07152646699999998,0.0,0.0,0.8432641602000002,0.2833333333333333
E12_CROUCH_LADDER_2026-08-26,ladder_034__nominal,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/nominal.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_034/nominal.csv,screen_empty,accepted,1,,0.06433089597613666,0.08625244405455301,,0.0,124.62832900182629,199,120,1.5074267962794925,1.4403993381273836,0.9555351819952116,0.3768566990698731,0.8155016905852239,0.7691588461416666,0.7618010044,nominal,,,,,,
E12_CROUCH_LADDER_2026-08-26,ladder_058__nominal,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_058/nominal.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_058/nominal.csv,screen_empty,rejected,0,disallowed_foot_non_ground_contact,0.2346692856059261,0.19261670798037248,,0.0,84.36962962341673,167,120,7.2864597125813795,7.271218158633574,0.99790823602284,1.8216149281453449,0.04544004328731022,0.7236612583166665,0.6537992954,nominal,,,,,,
E12_CROUCH_LADDER_2026-08-26,ladder_064__d040,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/d040.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/d040.csv,screen_empty,rejected,0,reference_endpoint_tracking_error,0.36571641433180724,0.31028597785263656,,0.0,34.11503099302079,199,120,3.5352280152289537,3.5052068785305717,0.9915080055461606,0.8838070038072384,0.602485473851718,0.7053552054925,0.6255305408,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/nominal.csv,0.03999789360000028,0.0,0.0,0.5910864258000001,0.275
E12_CROUCH_LADDER_2026-08-26,ladder_064__d055,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/d055.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/d055.csv,screen_empty,rejected,0,reference_endpoint_tracking_error,0.40633036135014816,0.3476671519668796,,0.0,18.674872703545553,199,120,3.5352280152289537,3.5052068785305717,0.9915080055461606,0.8838070038072384,0.602485473851718,0.6963101794625001,0.5997094623,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/nominal.csv,0.05499243900000028,0.0,0.0,0.7152612305000001,0.275
E12_CROUCH_LADDER_2026-08-26,ladder_064__d070,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/d070.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/d070.csv,screen_empty,rejected,0,reference_endpoint_tracking_error,0.44706963180574216,0.38827548976679166,,0.0,56.893852061948905,199,120,3.5352280152289537,3.5052068785305717,0.9915080055461606,0.8838070038072384,0.602485473851718,0.6882727570883334,0.578654897,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/nominal.csv,0.07001230280000015,0.0,0.0,0.8226879883000002,0.275
E12_CROUCH_LADDER_2026-08-26,ladder_064__nominal,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/nominal.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_ladder/ladder_064/nominal.csv,screen_empty,accepted,1,,0.2308805582624848,0.17002739993123026,,0.0,20.925715149158478,199,120,3.5352280152289537,3.5052068785305717,0.9915080055461606,0.8838070038072384,0.602485473851718,0.741262890895,0.7219498158,nominal,,,,,,
