motion_id,operator,α,keypoint,axis,commanded_mm,executed_mm
lfh_092_arm_tuck_right,local_arm_tuck,0.6666666666666666,foot_right,lateral_right,0.0,-18.365533740305473
lfh_084_arm_tuck_right,local_arm_tuck,0.3333333333333333,head_torso,lateral_right,0.0,0.33959498883186223
lfh_084_arm_tuck_right,local_arm_tuck,0.3333333333333333,shoulder_left,lateral_right,0.0,0.7793044301025454
lfh_084_arm_tuck_right,local_arm_tuck,0.3333333333333333,shoulder_right,lateral_right,10.7639612186885,0.6928696160550807
lfh_084_arm_tuck_right,local_arm_tuck,0.3333333333333333,wrist_left,lateral_right,0.0,-6.832473069245309
lfh_084_arm_tuck_right,local_arm_tuck,0.3333333333333333,wrist_right,lateral_right,21.90436094000908,1.438645771954461
lfh_084_arm_tuck_right,local_arm_tuck,0.3333333333333333,pelvis,lateral_right,0.0,-0.014288153705396822
lfh_084_arm_tuck_right,local_arm_tuck,0.3333333333333333,knee_left,lateral_right,0.0,-0.6532573050745533
lfh_084_arm_tuck_right,local_arm_tuck,0.3333333333333333,knee_right,lateral_right,0.0,0.03585754424287324
lfh_084_arm_tuck_right,local_arm_tuck,0.3333333333333333,foot_left,lateral_right,0.0,-1.3530924761598617
lfh_084_arm_tuck_right,local_arm_tuck,0.3333333333333333,foot_right,lateral_right,0.0,0.7635780126018232
lfh_084_arm_tuck_right,local_arm_tuck,0.6666666666666666,head_torso,lateral_right,0.0,-0.027834453543179594
lfh_084_arm_tuck_right,local_arm_tuck,0.6666666666666666,shoulder_left,lateral_right,0.0,0.9735479615793352
lfh_084_arm_tuck_right,local_arm_tuck,0.6666666666666666,shoulder_right,lateral_right,16.693846501257603,1.9378150956468332
lfh_084_arm_tuck_right,local_arm_tuck,0.6666666666666666,wrist_left,lateral_right,0.0,-5.243824815868408
lfh_084_arm_tuck_right,local_arm_tuck,0.6666666666666666,wrist_right,lateral_right,42.26331153678087,4.450220732296339
lfh_084_arm_tuck_right,local_arm_tuck,0.6666666666666666,pelvis,lateral_right,0.0,0.18183455575190854
lfh_084_arm_tuck_right,local_arm_tuck,0.6666666666666666,knee_left,lateral_right,0.0,-0.9453011898754582
lfh_084_arm_tuck_right,local_arm_tuck,0.6666666666666666,knee_right,lateral_right,0.0,1.2198554599228695
lfh_084_arm_tuck_right,local_arm_tuck,0.6666666666666666,foot_left,lateral_right,0.0,-0.8543403595191734
lfh_084_arm_tuck_right,local_arm_tuck,0.6666666666666666,foot_right,lateral_right,0.0,1.2791586974771618
lfh_084_arm_tuck_right,local_arm_tuck,1.0,head_torso,lateral_right,0.0,-0.9988391451618839
lfh_084_arm_tuck_right,local_arm_tuck,1.0,shoulder_left,lateral_right,0.0,-0.6844921738833609
lfh_084_arm_tuck_right,local_arm_tuck,1.0,shoulder_right,lateral_right,21.797941330844147,0.18256445199998916
lfh_084_arm_tuck_right,local_arm_tuck,1.0,wrist_left,lateral_right,0.0,-5.225559131069923
lfh_084_arm_tuck_right,local_arm_tuck,1.0,wrist_right,lateral_right,60.87874962793921,5.24798186369646
lfh_084_arm_tuck_right,local_arm_tuck,1.0,pelvis,lateral_right,0.0,0.39368070448013437
lfh_084_arm_tuck_right,local_arm_tuck,1.0,knee_left,lateral_right,0.0,-0.9262334571905408
lfh_084_arm_tuck_right,local_arm_tuck,1.0,knee_right,lateral_right,0.0,3.504998177264629
lfh_084_arm_tuck_right,local_arm_tuck,1.0,foot_left,lateral_right,0.0,-1.717818652937804
lfh_084_arm_tuck_right,local_arm_tuck,1.0,foot_right,lateral_right,0.0,6.457603953177404
lfh_086_arm_tuck_left,local_arm_tuck,2.0,head_torso,lateral_left,0.0,-0.7532156840182463
lfh_086_arm_tuck_left,local_arm_tuck,2.0,shoulder_left,lateral_left,75.47343568694836,69.21167642491748
lfh_086_arm_tuck_left,local_arm_tuck,2.0,shoulder_right,lateral_left,0.0,-1.738381433104036
lfh_086_arm_tuck_left,local_arm_tuck,2.0,wrist_left,lateral_left,194.94481464540118,188.20885451785588
lfh_086_arm_tuck_left,local_arm_tuck,2.0,wrist_right,lateral_left,0.0,-12.567123854189704
lfh_086_arm_tuck_left,local_arm_tuck,2.0,pelvis,lateral_left,0.0,1.111439947686227
lfh_086_arm_tuck_left,local_arm_tuck,2.0,knee_left,lateral_left,0.0,33.90588044277426
lfh_086_arm_tuck_left,local_arm_tuck,2.0,knee_right,lateral_left,0.0,14.139017132003968
lfh_086_arm_tuck_left,local_arm_tuck,2.0,foot_left,lateral_left,0.0,62.52513779307661
lfh_086_arm_tuck_left,local_arm_tuck,2.0,foot_right,lateral_left,0.0,14.076957782618447
lfh_092_arm_tuck_right,local_arm_tuck,2.5,head_torso,lateral_right,0.0,0.20817880916929044
lfh_092_arm_tuck_right,local_arm_tuck,2.5,shoulder_left,lateral_right,0.0,-0.5128939895381879
lfh_092_arm_tuck_right,local_arm_tuck,2.5,shoulder_right,lateral_right,51.69611131850493,-13.346104809153491
lfh_092_arm_tuck_right,local_arm_tuck,2.5,wrist_left,lateral_right,0.0,-3.9861590920816647
lfh_092_arm_tuck_right,local_arm_tuck,2.5,wrist_right,lateral_right,264.50781619695385,81.75846807247592
lfh_092_arm_tuck_right,local_arm_tuck,2.5,pelvis,lateral_right,0.0,-2.701013452008322
lfh_092_arm_tuck_right,local_arm_tuck,2.5,knee_left,lateral_right,0.0,-3.4947002065296995
lfh_092_arm_tuck_right,local_arm_tuck,2.5,knee_right,lateral_right,0.0,-11.388494175863906
lfh_092_arm_tuck_right,local_arm_tuck,2.5,foot_left,lateral_right,0.0,-26.17767771002172
lfh_092_arm_tuck_right,local_arm_tuck,2.5,foot_right,lateral_right,0.0,-27.31286558545723
lfh_084_arm_tuck_right,local_arm_tuck,2.5,head_torso,lateral_right,0.0,-11.23594850663799
lfh_084_arm_tuck_right,local_arm_tuck,2.5,shoulder_left,lateral_right,0.0,-13.20901408729315
lfh_084_arm_tuck_right,local_arm_tuck,2.5,shoulder_right,lateral_right,57.95609887372022,19.328444353658963
lfh_084_arm_tuck_right,local_arm_tuck,2.5,wrist_left,lateral_right,0.0,1.2032767705189018
lfh_084_arm_tuck_right,local_arm_tuck,2.5,wrist_right,lateral_right,258.1578213729496,23.838828352188422
lfh_084_arm_tuck_right,local_arm_tuck,2.5,pelvis,lateral_right,0.0,-0.40019957251508087
lfh_084_arm_tuck_right,local_arm_tuck,2.5,knee_left,lateral_right,0.0,2.347890080242311
lfh_084_arm_tuck_right,local_arm_tuck,2.5,knee_right,lateral_right,0.0,15.188874343727788
lfh_084_arm_tuck_right,local_arm_tuck,2.5,foot_left,lateral_right,0.0,28.44701105566626
lfh_084_arm_tuck_right,local_arm_tuck,2.5,foot_right,lateral_right,0.0,36.051756170439404
